proxy,site,sol,date,roll,window,RMSD,depth,age_floating,age_slider,kpg_age,age,value,long_ecc_filter,short_ecc_filter,comb_ecc_filter,ecc_sln
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,60.298561342592606,1622.4339843750001,-16.8,65900,67505.633984375,0.03093633097840992,0.22416269988041734,-0.16823894499343042,-0.8221195230688856,-1.4166582898653142
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,60.41194405864199,1625.2339843750003,-16.8,65900,67508.43398437499,-0.49655227777739186,0.2297172709038768,-0.23394638739813886,-0.6218561635909495,-1.304373699842167
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,60.52532677469137,1628.0339843750003,-16.8,65900,67511.233984375,0.08640793704017649,0.23485392494419782,-0.29393157520291835,-0.43940886601363105,-1.1707834560047117
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,60.63870949074076,1630.8339843750002,-16.8,65900,67514.033984375,-0.30898148592665353,0.239561994433582,-0.34634072270876093,-0.2812614208607349,-1.0251462200801646
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,60.75209220679013,1633.6339843750002,-16.8,65900,67516.833984375,-0.4056842203909114,0.243831584874941,-0.38952214274695435,-0.15318853385310893,-0.8757980094670265
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,60.86547492283951,1636.4339843750001,-16.8,65900,67519.633984375,-0.022209347358938286,0.2476535956911649,-0.42207750996691235,-0.060074962512401964,-0.7337131745769417
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,60.978857638888904,1639.2339843750003,-16.8,65900,67522.43398437499,0.4431924974717356,0.2510197395335542,-0.44290608579542246,-0.005759492429057822,-0.5945119642571525
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,61.09224035493828,1642.0339843750003,-16.8,65900,67525.233984375,0.014044995574069352,0.25392256000835434,-0.45124051396117226,0.007091335810327504,-0.47365513538005655
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,61.20562307098766,1644.8339843750002,-16.8,65900,67528.033984375,-0.9689783096276305,0.25635544778367036,-0.4466730414242172,-0.022924293678738383,-0.3612410791991686
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,61.31900578703704,1647.6339843750002,-16.8,65900,67530.833984375,0.5667427439692492,0.2583126550424671,-0.42917130198213715,-0.09588783137724688,-0.2687190670165393
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,61.43238850308643,1650.4339843750001,-16.8,65900,67533.633984375,0.4769187016519826,0.25978930825085533,-0.39908311009141323,-0.2105435109194529,-0.19042324892405946
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,61.54577121913582,1653.2339843750003,-16.8,65900,67536.43398437499,0.6734859046592171,0.26078141921442555,-0.3571300410032702,-0.36432107722252005,-0.13436584329429122
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,61.6591539351852,1656.0339843750003,-16.8,65900,67539.233984375,1.3607316257890993,0.26128589439900507,-0.3043899100431433,-0.5533976957165654,-0.09761769504542091
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,61.772536651234574,1658.8339843750002,-16.8,65900,67542.033984375,1.0727407729184748,0.26130054249588197,-0.2422685983767749,-0.7727974632393916,-0.0922689134208928
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,61.885919367283954,1661.6339843750002,-16.8,65900,67544.833984375,0.2183474264791152,0.26082408021523235,-0.17246199458857103,-1.0165258044380017,-0.11327759825703533
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,61.99930208333333,1664.4339843750001,-16.8,65900,67547.633984375,0.7810852959683051,0.25985613629522947,-0.09690912093143188,-1.2777349800522486,-0.16625728056334604
