depth,magsus,reflec,d13C_VPDB,comment
5859.6,13.1,42.45995,NA,NA
5866,12.1,47.08195,1.524599912780399,NA
5872.4,11.2,48.9352,NA,NA
5878.8,7.5,49.5406,NA,NA
5887.625,4,50.5461,NA,NA
5898.875,6.8,52.563,1.3073207528916164,NA
5910.125,7.3,57.20365,NA,NA
5921.375,5.5,59.4398,NA,NA
5934.333,6,54.76365,NA,NA
5949,5.7,51.5784,0.17891685251791928,outlier
5963.667,5.3,51.5562,NA,NA
5978.5,6.3,51.5806,NA,NA
5993.5,6.1,54.8196,1.6621047441950925,NA
6008.5,5.4,54.28375,NA,NA
6023,8.4,54.4725,NA,NA
6037,10,48.2721,NA,NA
6051,10.3,52.5273,1.6249777618572772,NA
6065,10.3,50.19525,NA,NA
6079,5.6,49.8584,NA,NA
6092.875,6.7,52.443600000000004,1.839014972416038,NA
6106.625,7.3,53.1995,1.7272652848640693,NA
6120.375,7.3,46.9747,NA,NA
6134.125,4.4,54.25215,1.631252173951335,NA
6148.5,8.3,51.6763,NA,NA
6163.5,10,55.93335,1.6580146000000013,NA
6178.5,7.4,55.0001,NA,NA
6193.5,10.2,50.53055,NA,NA
6205.167,8.2,55.9578,NA,NA
6213.5,8.3,51.19925,1.664923199999997,NA
6221.833,9.2,46.0781,NA,NA
6231.625,7.5,56.3496,NA,NA
6242.875,9,47.8165,1.7570448000000027,NA
6254.125,10.1,52.57155,NA,NA
6265.375,9.3,55.6098,NA,NA
6276.333,6.8,53.3287,NA,NA
6287,8.3,54.74555,1.790608000000006,NA
6297.667,9.1,49.50805,NA,NA
6308.5,9.6,52.03225,NA,NA
6319.5,9.5,53.6023,1.608137400000004,NA
6330.5,6.3,53.616,NA,NA
6341.5,11.8,48.85175,NA,NA
6351.167,7.4,57.06425,NA,NA
6359.5,8.2,55.1178,1.8477728000000013,NA
6367.833,9.8,50.05775,NA,NA
6377.4,8.6,51.3937,NA,NA
6388.2,8.7,49.00695,NA,NA
6399,6.3,52.20375,1.5702826000000059,NA
6409.8,13.4,50.2844,NA,NA
6420.6,5.7,51.1412,NA,NA
6430.167,9,53.7734,NA,NA
6438.5,5.4,48.062567,1.6727975000000015,NA
6446.833,9,45.3636,NA,NA
6456.4,11.9,46.0351,NA,NA
6467.2,12,44.0782,NA,NA
6478,16.1,47.1443,1.5688784000000027,NA
6488.8,13.5,49.73955,NA,NA
6499.6,6.4,55.39965,NA,NA
6509.167,8.6,51.24685,NA,NA
6517.5,4.5,46.90325,1.778614399999995,NA
6525.833,8.1,50.5048,NA,NA
